group,rank,team,played,won,drawn,lost,goals_for,goals_against,goal_diff,points
Group A,0,Mexico,2,2,0,0,3,0,3,6
Group A,0,Czechia,2,0,1,1,2,3,-1,1
Group A,0,South Korea,2,1,0,1,2,2,0,3
Group A,0,South Africa,2,0,1,1,1,3,-2,1
Group B,0,Canada,2,1,1,0,7,1,6,4
Group B,0,Bosnia-Herzegovina,2,0,1,1,2,5,-3,1
Group B,0,Switzerland,2,1,1,0,5,2,3,4
Group B,0,Qatar,2,0,1,1,1,7,-6,1
Group C,0,Brazil,2,1,1,0,4,1,3,4
Group C,0,Scotland,2,1,0,1,1,1,0,3
Group C,0,Haiti,2,0,0,2,0,4,-4,0
Group C,0,Morocco,2,1,1,0,2,1,1,4
Group D,0,Paraguay,1,0,0,1,1,4,-3,0
Group D,0,Türkiye,1,0,0,1,0,2,-2,0
Group D,0,Australia,2,1,0,1,2,2,0,3
Group D,0,United States,2,2,0,0,6,1,5,6
Group E,0,Ecuador,1,0,0,1,0,1,-1,0
Group E,0,Germany,1,1,0,0,7,1,6,3
Group E,0,Ivory Coast,1,1,0,0,1,0,1,3
Group E,0,Curaçao,1,0,0,1,1,7,-6,0
Group F,0,Netherlands,1,0,1,0,2,2,0,1
Group F,0,Sweden,1,1,0,0,5,1,4,3
Group F,0,Japan,1,0,1,0,2,2,0,1
Group F,0,Tunisia,1,0,0,1,1,5,-4,0
Group G,0,Belgium,1,0,1,0,1,1,0,1
Group G,0,Iran,1,0,1,0,2,2,0,1
Group G,0,Egypt,1,0,1,0,1,1,0,1
Group G,0,New Zealand,1,0,1,0,2,2,0,1
Group H,0,Spain,1,0,1,0,0,0,0,1
Group H,0,Uruguay,1,0,1,0,1,1,0,1
Group H,0,Saudi Arabia,1,0,1,0,1,1,0,1
Group H,0,Cape Verde,1,0,1,0,0,0,0,1
Group I,0,Norway,1,1,0,0,4,1,3,3
Group I,0,France,1,1,0,0,3,1,2,3
Group I,0,Senegal,1,0,0,1,1,3,-2,0
Group I,0,Iraq,1,0,0,1,1,4,-3,0
Group J,0,Argentina,1,1,0,0,3,0,3,3
Group J,0,Austria,1,1,0,0,3,1,2,3
Group J,0,Algeria,1,0,0,1,0,3,-3,0
Group J,0,Jordan,1,0,0,1,1,3,-2,0
Group K,0,Colombia,1,1,0,0,3,1,2,3
Group K,0,Portugal,1,0,1,0,1,1,0,1
Group K,0,Uzbekistan,1,0,0,1,1,3,-2,0
Group K,0,Congo DR,1,0,1,0,1,1,0,1
Group L,0,England,1,1,0,0,4,2,2,3
Group L,0,Croatia,1,0,0,1,2,4,-2,0
Group L,0,Panama,1,0,0,1,0,1,-1,0
Group L,0,Ghana,1,1,0,0,1,0,1,3
