source,season,tournament,date,round,group,home_team,away_team,home_code,away_code,home_goals,away_goals,home_goals_ht,away_goals_ht,venue,city,status,home_xg,away_xg
openfootball,2026,USA/Canada/Mexico 2026,2026-07-05 00:00:00+00:00,Round of 16,Round of 16,W76,W78,,,,,,,New York/New Jersey (East Rutherford),New York/New Jersey (East Rutherford),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-05 00:00:00+00:00,Round of 16,Round of 16,W79,W80,,,,,,,Mexico City,Mexico City,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-06 00:00:00+00:00,Round of 16,Round of 16,W81,W82,,,,,,,Seattle,Seattle,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-06 00:00:00+00:00,Round of 16,Round of 16,W83,W84,,,,,,,Dallas (Arlington),Dallas (Arlington),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-07 00:00:00+00:00,Round of 16,Round of 16,W86,W88,,,,,,,Atlanta,Atlanta,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-07 00:00:00+00:00,Round of 16,Round of 16,W85,W87,,,,,,,Vancouver,Vancouver,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-09 00:00:00+00:00,Quarter-final,Quarter-final,W89,W90,,,,,,,Boston (Foxborough),Boston (Foxborough),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-10 00:00:00+00:00,Quarter-final,Quarter-final,W93,W94,,,,,,,Los Angeles (Inglewood),Los Angeles (Inglewood),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-11 00:00:00+00:00,Quarter-final,Quarter-final,W91,W92,,,,,,,Miami (Miami Gardens),Miami (Miami Gardens),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-11 00:00:00+00:00,Quarter-final,Quarter-final,W95,W96,,,,,,,Kansas City,Kansas City,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-14 00:00:00+00:00,Semi-final,Semi-final,W97,W98,,,,,,,Dallas (Arlington),Dallas (Arlington),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-15 00:00:00+00:00,Semi-final,Semi-final,W99,W100,,,,,,,Atlanta,Atlanta,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-18 00:00:00+00:00,Match for third place,Match for third place,L101,L102,,,,,,,Miami (Miami Gardens),Miami (Miami Gardens),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-19 00:00:00+00:00,Final,Final,W101,W102,,,,,,,New York/New Jersey (East Rutherford),New York/New Jersey (East Rutherford),scheduled,,
